도서명,저자,출판일,가격
 "데이터 과학을 위한 파이썬과 R","릭 슈카페타 외 1명  ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","18000"
  "리얼 호치민 [2022~2023]","권예빈   ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","18000"
  "만화로 배우는 요리의 역사","브누아 시마 외 1명  ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","20900"
  "신비한 뮤직박스 1 : 판도리아에 온 걸 환영해","카르본 외 1명  ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","15000"
  "누구나 R 데이터 분석","이윤환   ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","27000"
  "STEM CookBook 정수론 첫걸음","Kuldeep Singh   ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","33000"
  "[엉뚱소심 유령 탐정단]  1. 도서관 유령 소동","도리 힐레스타드 버틀러 외 1명  ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","13000"
  "[엉뚱소심 유령 탐정단]  2. 다락방 유령 사건","도리 힐레스타드 버틀러 외 1명  ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","13000"
  "전문가를 위한 C","캄란 아미니   ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","55000"
  "손목시계의 교양","시노다 데쓰오   ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","25000"
  "파이썬 라이브러리를 활용한 텍스트 분석","젠스 알브레히트 외 2명  ","['2022-10-28', '2022-10-27', '2022-10-25', '2022-10-20', '2022-10-20', '2022-10-17', '2022-10-14', '2022-10-14', '2022-10-12', '2022-10-11', '2022-10-11']","35000"
 